zona,atraccion,tiempo_espera,abierta,ultima_actualizacion,fecha,hora,dia_semana,mes,fin_de_semana,temperatura,humedad,sensacion_termica,codigo_clima,temporada
Cartoon Village,Rápidos ACME,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Scooby-Doo's Tea Party Mistery,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Tom & Jerry Picnic en el Parque,10,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Wile E. Coyote Zona de Explosión,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
DC Super Heroes World,Batman Gotham City Escape,15,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
DC Super Heroes World,La Venganza del Enigma,20,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
DC Super Heroes World,Lex Luthor Invertatron,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
DC Super Heroes World,Shadows of Arkham,15,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
DC Super Heroes World,Superman La Atracción de Acero,25,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
DC Super Heroes World,The Joker Coches de Choque,10,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Movie World Studios,Cine Tour,5,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Movie World Studios,Hotel Embrujado,5,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Movie World Studios,Oso Yogui,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Movie World Studios,Stunt Fall,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Old West Territory,Cataratas Salvajes,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Old West Territory,Coaster Express,20,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Old West Territory,Los Carros de la Mina,5,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Old West Territory,Río Bravo,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,A Toda Máquina,5,True,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
Cartoon Village,Academia de Pilotos Baby Looney Tunes,0,False,2025-11-08 11:15:11+00:00,2025-11-08,12:19:21,Saturday,11.0,True,13.4,50.0,10.8,2.0,baja
